Layer,IOType,Strategy,Inputs,Outputs,ReuseFactor,Precision,AreaHLS,LatencyHLS,IIHLS,AreaSYN
dense,io_parallel,Latency,4,4,1,"ac_fixed<16,6,true>",5053.1,1,4,4521.734
dense,io_parallel,Latency,4,4,2,"ac_fixed<16,6,true>",6759.2,4,7,6754.538
dense,io_parallel,Latency,4,4,3,"ac_fixed<16,6,true>",5376.2,11,14,5313.616
dense,io_parallel,Latency,4,4,4,"ac_fixed<16,6,true>",5268.1,16,19,5726.448
dense,io_parallel,Resource,4,4,1,"ac_fixed<16,6,true>",5295.8,6,8,5054.798
dense,io_parallel,Resource,4,4,2,"ac_fixed<16,6,true>",6948.8,2,4,4539.822
dense,io_parallel,Resource,4,4,3,"ac_fixed<16,6,true>",6948.8,2,4,4539.822
dense,io_parallel,Resource,4,4,4,"ac_fixed<16,6,true>",4177.4,4,6,3556.686
dense,io_parallel,Latency,8,8,1,"ac_fixed<16,6,true>",17585.2,1,4,15726.984
dense,io_parallel,Latency,8,8,2,"ac_fixed<16,6,true>",24424.1,4,7,23645.272
dense,io_parallel,Latency,8,8,3,"ac_fixed<16,6,true>",20131.5,12,15,21779.814
dense,io_parallel,Latency,8,8,4,"ac_fixed<16,6,true>",18074.1,16,19,20343.414
dense,io_parallel,Latency,8,8,5,"ac_fixed<16,6,true>",18410.2,40,43,21568.876
dense,io_parallel,Latency,8,8,6,"ac_fixed<16,6,true>",18374.3,48,51,21642.824
dense,io_parallel,Latency,8,8,7,"ac_fixed<16,6,true>",18357.7,56,59,21634.312
dense,io_parallel,Latency,8,8,8,"ac_fixed<16,6,true>",17057.5,64,67,20295.534
dense,io_parallel,Resource,8,8,1,"ac_fixed<16,6,true>",15777.0,25,27,14394.058
dense,io_parallel,Resource,8,8,2,"ac_fixed<16,6,true>",26238.0,2,4,17383.100
dense,io_parallel,Resource,8,8,3,"ac_fixed<16,6,true>",26238.0,2,4,17383.100
dense,io_parallel,Resource,8,8,4,"ac_fixed<16,6,true>",15396.2,4,6,12788.482
dense,io_parallel,Resource,8,8,5,"ac_fixed<16,6,true>",15396.2,4,6,12788.482
dense,io_parallel,Resource,8,8,6,"ac_fixed<16,6,true>",15396.2,4,6,12788.482
